name,ring,quadrant,isNew,description
Grafana,hold,tools,TRUE,"<a href=""https://grafana.com/"">Grafana</a> was the standard metric graphing and dashboard tool for data center applications. While it is possible to run in AWS, it requires its own instance to run and maintain. Therefore, we put the use of Grafana on hold in favour of DataDog."
RStudio,hold,tools,TRUE,"<a href=""https://rstudio.com/"">RStudio</a> An IDE for R. Some past data science projects were developed in R, RStuidio offers a whole suite of libraries. DS team has fully adopted Python as the development language, which is easier for deployment process, hence RStudio is on hold."
TeamCity,hold,tools,TRUE,"<a href=""https://www.jetbrains.com/teamcity/"">TeamCity</a> is based on a centralized model where all engineering teams use the same installation. Scaling the services, limiting blast-radius and implementing security isolation is very difficult with this model. Although TeamCity is still used heavily within Data Technology teams, we would like to move away from it to FiZZ, Scout24's in-house solution for de-centralized Jenkins."
PyTorch,assess,tools,TRUE,"Developed by Facebook, interesting alternative to TensorFlow"
JupyterLab,assess,tools,TRUE,Next-generation web-based user interface for Project Jupyter
FBProphet,assess,tools,TRUE,"<a href=""https://grafana.com/"">Grafana</a> A library for building Bayesian Structural time series models, developed and actively maintained by Facebook. It is used in evaluating "
Dask,trial,tools,TRUE,"Distributed computing without the overhead of the JVM, used in production"
FiZZ,trial,tools,TRUE,"<a href=""https://docs.cloud.scout24.com/products/fizz/"">FiZZ</a> is a cloud CI/CD solution based on Jenkins and managed by Delivery Engineering. It allows teams to set up their own build and deploy environments without interfering with other teams, while giving them access to a (theoretically) unlimited number of build servers. Jenkins and thus FiZZ allows writing build pipelines as code, making it easy to version control and test the build pipeline together with the code being built."
Jupyter,adopt,tools,TRUE,
Zeppelin,adopt,tools,TRUE,
CloudHealth,adopt,tools,TRUE,"<a href=""https://cloudhealthtech.com/"">CloudHealth</a> is a tool for analysing our AWS costs. It is our main tool for keeping an eye on costs and investigating any anomolies. We use it instead of the built-in cost tracking features of AWS because it can aggregate costs across all our accounts."
Pandas,adopt,tools,TRUE,"Python library that provides high-level data structures and a vast variety of tools for analysis, used everywhere"
DataWario,adopt,tools,TRUE,
Docker,adopt,tools,TRUE,
PAC,adopt,tools,TRUE,Personal Analytics Cluster (PAC) is a tool for running queries on Data Lake. It utilizes Jupyter and Zeppelin notebooks running on an auto-scaling Hadoop cluster. You can write Scala Spark or pySpark jobs and you may also use Hue to run SQL-based queries using Hive. We use it to spike some usecases and adhoc analysis.
AWS CloudFormation,adopt,tools,TRUE,AWS CloudFormation provides a common language to describe and provision all the infrastructure resources in our cloud environment. We use it to have our infrastructure as code  so we can recreate it seamlessly.
R,hold,languages & frameworks,TRUE,"A programming language many data scientists in the industry still use, with emphasis on traditional statistical methods. Similar to RStudio, it is not the choice of development any more at Scout24. "
Python 2,hold,languages & frameworks,TRUE,
Java,hold,languages & frameworks,TRUE,"<a href=""https://go.java"">Java</a> is a programming language, that has long been the standard language of ImmobilienScout24. It was also the language of choice of the Data Platform for a long time, with components like the Hadoop REST API, One Scout User DB, and DataWario being written in Java. Java is still a very good general purpose language, however it is also quite verbose, making code usually harder to read and less concise. It also doesn't support new programming paradigms like Functional Programming as well as other languages like Scala."
Kotlin,assess,languages & frameworks,TRUE,"<a href=""https://kotlinlang.org/"">Kotlin</a> is a relatively young programming language, that has already gained some traction in the industry, for example as the standard language for Android development and by having native support by the Spring Framework. It is based on the Java Virtual Machine which allows for good interoperability with existing Java libraries. The syntax of Kotlin strikes a good balance between Java's verbosity and Scala's conciseness, making it easier to learn than Scala, especially for existing Java developers. Kotlin is being developed by JetBrains, the company behind IntelliJ IDEA, which means that the developer experience in IntelliJ is usually better than with Scala. Spark applications can also be written in Kotlin by using Java SDK, although it is not supported by Zeppelin, yet, i.e. prototyping Spark applications is still easier in Scala."
